TransMem v7 — Source->Destination Centroid Routing Trace
==========================================================================================
Probe tokens (290):
  'The' ' central' ' bank' ' raised' ' interest' ' rates' ' by' ' 25' ' basis' ' points'
  ' on' ' Thursday' ',' ' its' ' seventh' ' consecutive' ' increase' ',' ' citing'
  ' persistent' ' inflation' 'ary' ' pressure' ' across' ' energy' ' and' ' food'
  ' sectors' '.' ' Markets' ' had' ' largely' ' priced' ' in' ' the' ' move' ','
  ' though' ' the' ' accompanying' ' statement' ' surprised' ' analysts' ' by'
  ' signalling' ' a' ' potential' ' pause' ' in' ' June' '.' ' The' ' benchmark' ' ten'
  '-' 'year' ' yield' ' rose' ' four' ' basis' ' points' ' to' ' 4' '.' '31' ' percent'
  ' shortly' ' after' ' the' ' announcement' '.' ' ' ' The' ' prime' ' minister'
  ' addressed' ' parliament' ' on' ' Tuesday' ',' ' defending' ' the' ' government' "'s"
  ' proposed' ' reforms' ' to' ' the' ' healthcare' ' system' '.' ' Opposition'
  ' leaders' ' criticised' ' the' ' plan' ' as' ' under' 'funded' ' and' ' poorly'
  ' timed' ',' ' arguing' ' that' ' frontline' ' workers' ' had' ' not' ' been'
  ' consulted' '.' ' Several' ' back' 'ben' 'chers' ' from' ' the' ' ruling' ' coalition'
  ' also' ' expressed' ' reservations' ',' ' threatening' ' to' ' vote' ' against' ' the'
  ' bill' ' unless' ' amendments' ' were' ' introduced' ' before' ' the' ' final'
  ' reading' '.' ' ' ' Voters' ' in' ' three' ' swing' ' states' ' will' ' head' ' to'
  ' the' ' polls' ' next' ' month' ' in' ' what' ' analysts' ' describe' ' as' ' a'
  ' bell' 'w' 'ether' ' for' ' the' ' national' ' election' '.' ' Poll' 'ing' ' data'
  ' suggests' ' a' ' tight' ' race' ',' ' with' ' neither' ' candidate' ' holding' ' a'
  ' decisive' ' lead' ' outside' ' the' ' margin' ' of' ' error' '.' ' Campaign'
  ' strateg' 'ists' ' on' ' both' ' sides' ' have' ' shifted' ' resources' ' toward'
  ' rural' ' districts' ',' ' where' ' turnout' ' could' ' prove' ' decisive' '.'
  ' Meanwhile' ',' ' independent' ' candidates' ' continue' ' to' ' draw' ' support'
  ' from' ' younger' ' voters' ' disillusion' 'ed' ' with' ' the' ' two' ' major'
  ' parties' '.' ' ' ' The' ' foreign' ' minister' ' met' ' with' ' her' ' counterparts'
  ' from' ' six' ' neighbouring' ' countries' ' to' ' discuss' ' a' ' regional' ' trade'
  ' agreement' ' that' ' has' ' been' ' stalled' ' for' ' over' ' two' ' years' '.'
  ' Neg' 'oti' 'ators' ' cited' ' disagreements' ' over' ' agricultural' ' tariffs'
  ' and' ' intellectual' ' property' ' protections' ' as' ' the' ' primary' ' obstacles'
  '.' ' A' ' joint' ' commun' 'ique' ' issued' ' after' ' the' ' talks' ' described'
  ' the' ' discussions' ' as' ' constructive' ' but' ' acknowledged' ' that'
  ' significant' ' differences' ' remain' ' unresolved' '.'
==========================================================================================

==========================================================================================
BLOCK 0  (unique src: 31/128  unique dst: 16/128  self-routes: 2/290)
==========================================================================================
Token             POS     Src  SrcH  Top3-Src       Dst  DstH  Top3-Dst      Dir
' by'             ADP     121  3.67  121,21,105      89  0.02  89,119,98     ->
' signalling'     VERB     21  4.69  21,121,72      107  2.66  107,25,99     ->
' a'              DET     121  2.97  121,21,55       59  0.20  59,119,118    ->
' potential'      ADJ     121  4.50  121,21,55       99  2.08  99,118,25     ->
' pause'          NOUN    121  4.55  121,21,76       25  2.38  25,99,107     ->
' in'             ADP     121  2.75  121,21,40       89  0.03  89,98,119     ->
' June'           PROPN   121  4.38  121,21,40       41  2.75  41,99,107     ->
'.'               PUNCT   121  1.60  121,21,40       29  0.07  29,98,42      ->
' The'            DET     121  2.89  121,21,55       59  0.12  59,118,98     ->
' benchmark'      NOUN     21  4.64  21,121,72      107  2.26  107,25,99     ->
' ten'            X       121  4.61  121,21,96      107  2.50  107,99,25     ->
'-'               X       121  2.69  121,21,55      119  0.10  119,89,59     ->
'year'            X       121  4.40  121,21,58       41  2.58  41,107,99     ->
' yield'          NOUN    121  4.56  121,21,55       25  2.43  25,107,99     ->
' rose'           VERB     32  4.65  32,121,21       25  2.14  25,99,107     ->
' four'           NUM     121  4.37  121,21,78       99  1.73  99,107,25     ->
' basis'          NOUN    121  4.36  121,21,55       25  2.55  25,107,99     ->
' points'         NOUN    121  4.55  121,21,54       25  1.58  25,107,99     ->
' to'             ADP     121  2.48  121,21,55       59  0.19  59,98,89      ->
' 4'              X       121  4.54  121,21,101     107  2.40  107,41,48     ->
'.'               PUNCT   121  1.57  121,21,40       29  0.08  29,98,42      ->
'31'              X       121  4.60  121,21,93       41  1.54  41,107,42     ->
' percent'        NOUN    121  4.44  121,21,6        99  2.16  99,25,107     ->
' shortly'        ADV     121  4.15  121,40,21       99  2.32  99,25,40      ->
' after'          ADP     121  2.99  121,21,40       59  0.32  59,98,14      ->
' the'            DET     121  2.62  121,21,55       59  0.11  59,118,99     ->
' announcement'   NOUN    121  4.60  121,47,21       25  1.55  25,107,47     ->
'.'               PUNCT   121  1.57  121,21,40       29  0.07  29,98,42      ->
' '               SPACE   121  4.31  121,96,21       42  2.00  42,48,107     ->
' The'            DET     121  2.78  121,21,55       59  0.09  59,118,99     ->
' prime'          ADJ     121  4.64  121,21,78      107  2.61  107,25,99     ->
' minister'       NOUN     77  4.39  77,124,24      107  2.64  107,77,48     ->
' addressed'      VERB    121  4.31  121,21,72       25  1.68  25,99,107     ->
' parliament'     NOUN    124  4.40  124,24,77      107  2.28  107,41,124    ->
' on'             ADP     121  2.80  121,21,40       89  0.01  89,119,59     ->
' Tuesday'        PROPN    40  3.86  40,121,21       40  2.38  40,107,41     =
','               PUNCT   121  1.65  121,21,55       98  0.10  98,29,59      ->
' defending'      VERB     18  4.58  18,121,125      99  2.22  99,18,25      ->
' the'            DET     121  2.63  121,21,55       59  0.10  59,118,99     ->
' government'     NOUN     24  4.36  24,121,77      107  2.44  107,48,77     ->
"'s"              PART    121  2.54  121,21,77       59  0.11  59,98,119     ->
' proposed'       VERB    121  4.55  121,21,24       99  1.88  99,118,25     ->
' reforms'        NOUN     24  4.55  24,121,21      107  1.95  107,25,24     ->
' to'             ADP     121  2.35  121,21,55       59  0.13  59,98,80      ->
' the'            DET     121  2.60  121,21,55       59  0.10  59,118,99     ->
' healthcare'     NOUN     84  4.60  84,24,121      107  1.97  107,84,24     ->
' system'         NOUN    121  4.52  121,24,21      107  2.26  107,48,33     ->
'.'               PUNCT   121  1.51  121,21,40       29  0.07  29,98,42      ->
' Opposition'     NOUN    121  4.58  121,24,124     107  2.66  107,25,20     ->
' leaders'        NOUN    121  4.32  121,77,21      107  2.73  107,48,25     ->
' criticised'     VERB    121  4.44  121,76,55       99  2.54  99,25,107     ->
' the'            DET     121  2.56  121,21,55       59  0.11  59,118,99     ->
' plan'           NOUN    121  4.50  121,24,21       25  2.12  25,107,99     ->
' as'             ADP     121  2.43  121,21,40       14  0.16  14,89,59      ->
' under'          X       121  4.39  121,21,82      119  0.21  119,89,25     ->
'funded'          X       121  4.53  121,21,55       99  2.54  99,107,41     ->
' and'            CCONJ   121  1.35  121,21,55       98  0.23  98,59,118     ->
' poorly'         ADV      55  4.45  55,121,52       99  2.05  99,118,83     ->
' timed'          VERB    121  4.55  121,55,21       99  1.69  99,25,107     ->
','               PUNCT   121  1.49  121,21,55       98  0.10  98,29,59      ->
' arguing'        VERB    121  4.54  121,21,87       25  2.21  25,99,118     ->
' that'           DET     121  2.94  121,21,40       29  0.08  29,64,59      ->
' frontline'      ADJ     121  4.59  121,21,125     107  2.56  107,99,25     ->
' workers'        NOUN    121  4.40  121,23,6        48  2.43  48,107,25     ->
' had'            VERB    121  2.83  121,21,77       59  0.12  59,98,118     ->
' not'            ADV     121  2.70  121,21,55       59  0.06  59,14,118     ->
' been'           VERB    121  2.76  121,21,55       59  0.06  59,118,80     ->
' consulted'      VERB    121  4.45  121,72,21       99  2.56  99,83,25      ->
'.'               PUNCT   121  1.27  121,21,40       29  0.07  29,98,42      ->
' Several'        ADJ     121  3.94  121,21,55      118  0.84  118,99,59     ->
' back'           X       121  4.05  121,21,52       25  2.32  25,99,107     ->
'ben'             X        43  4.67  43,21,34       107  2.06  107,42,41     ->
'chers'           X       121  4.54  121,21,43      107  2.88  107,48,25     ->
' from'           ADP     121  2.05  121,21,55       89  0.06  89,98,14      ->
' the'            DET     121  2.37  121,21,55       59  0.10  59,118,99     ->
' ruling'         VERB     24  4.59  24,121,126      25  2.65  25,107,99     ->
' coalition'      NOUN     35  4.53  35,124,125     107  2.27  107,41,48     ->
' also'           ADV     121  3.17  121,21,55       59  0.12  59,118,98     ->
' expressed'      VERB    121  4.52  121,55,21      118  0.50  118,99,25     ->
' reservations'   NOUN    121  4.64  121,21,24       25  2.31  25,107,99     ->
','               PUNCT   121  1.45  121,21,55       98  0.11  98,59,29      ->
' threatening'    VERB    125  4.42  125,121,76      99  1.74  99,25,83      ->
' to'             ADP     121  2.08  121,21,55       59  0.13  59,98,80      ->
' vote'           VERB     20  4.21  20,121,124      25  2.23  25,20,107     ->
' against'        ADP     121  4.33  121,21,18       89  0.25  89,99,25      ->
' the'            DET     121  2.34  121,21,55       59  0.10  59,118,99     ->
' bill'           NOUN     24  4.50  24,124,121     107  2.17  107,25,24     ->
' unless'         ADP     121  4.39  121,21,18       98  0.33  98,59,64      ->
' amendments'     NOUN     24  4.58  24,121,47      107  2.20  107,25,24     ->
' were'           VERB    121  2.48  121,21,127      59  0.18  59,118,14     ->
' introduced'     VERB    121  4.50  121,24,21       25  1.93  25,99,118     ->
' before'         ADP     121  3.21  121,21,40       59  0.27  59,98,42      ->
' the'            DET     121  2.34  121,21,55       59  0.10  59,118,99     ->
' final'          ADJ     121  4.56  121,16,21       59  0.25  59,118,80     ->
' reading'        NOUN    121  4.45  121,114,72      25  2.58  25,99,107     ->
'.'               PUNCT   121  1.28  121,21,40       29  0.07  29,98,42      ->
' '               SPACE   121  4.20  121,96,38       48  1.90  48,42,107     ->
' Voters'         NOUN     20  4.56  20,121,110      48  2.69  48,107,41     ->
' in'             ADP     121  2.01  121,21,40       89  0.08  89,98,14      ->
' three'          NUM     121  4.05  121,21,78       99  1.83  99,107,25     ->
' swing'          VERB     70  4.64  70,32,27       107  1.86  107,25,99     ->
' states'         NOUN    121  4.47  121,24,21      107  2.50  107,41,25     ->
' will'           AUX     121  2.16  121,21,24       98  0.20  98,59,80      ->
' head'           VERB    121  4.39  121,108,77      25  2.80  25,107,108    ->
' to'             ADP     121  2.11  121,21,55       59  0.13  59,98,80      ->
' the'            DET     121  2.34  121,21,55       59  0.11  59,118,99     ->
' polls'          NOUN     20  4.49  20,121,16      107  2.63  107,25,20     ->
' next'           ADJ     121  3.54  121,21,78       59  0.26  59,118,83     ->
' month'          NOUN    121  4.27  121,40,21      107  2.65  107,25,40     ->
' in'             ADP     121  1.88  121,21,40       89  0.09  89,98,14      ->
' what'           PRON    121  3.41  121,21,40       29  0.37  29,98,59      ->
' analysts'       NOUN    121  4.43  121,54,72       48  2.44  48,107,25     ->
' describe'       VERB    121  4.26  121,55,21      118  2.00  118,99,25     ->
' as'             ADP     121  2.16  121,21,40       14  0.10  14,59,89      ->
' a'              DET     121  2.41  121,21,55       59  0.17  59,119,118    ->
' bell'           X        34  4.71  34,116,10      107  1.50  107,25,43     ->
'w'               X       121  4.61  121,21,108      42  1.26  42,107,48     ->
'ether'           X       121  4.68  121,43,21      107  2.45  107,42,99     ->
' for'            ADP     121  2.33  121,21,40       89  0.13  89,14,59      ->
' the'            DET     121  2.31  121,21,55       59  0.10  59,118,99     ->
' national'       ADJ     121  4.53  121,35,24      107  2.92  107,41,42     ->
' election'       NOUN     20  4.01  20,110,121     107  2.56  107,20,25     ->
'.'               PUNCT   121  1.23  121,21,40       29  0.07  29,98,42      ->
' Poll'           X        72  4.66  72,20,2        107  2.05  107,48,25     ->
'ing'             X       121  4.38  121,21,72       99  2.10  99,107,42     ->
' data'           NOUN     54  4.32  54,121,72      107  2.45  107,25,48     ->
' suggests'       VERB    121  4.26  121,21,72      118  1.32  118,25,99     ->
' a'              DET     121  2.44  121,21,55       59  0.16  59,119,118    ->
' tight'          ADJ     106  4.60  106,52,57       99  1.18  99,107,25     ->
' race'           NOUN     20  4.55  20,121,16      107  2.27  107,25,20     ->
','               PUNCT   121  1.41  121,21,55       98  0.12  98,59,29      ->
' with'           ADP     121  3.16  121,21,55       89  0.06  89,14,80      ->
' neither'        DET     121  4.37  121,55,52       59  0.26  59,118,99     ->
' candidate'      NOUN     20  4.17  20,121,110     107  2.68  107,20,41     ->
' holding'        VERB    121  4.42  121,70,21       80  0.62  80,99,25      ->
' a'              DET     121  2.48  121,21,55       59  0.16  59,119,118    ->
' decisive'       ADJ      55  4.37  55,121,76       99  2.14  99,25,107     ->
' lead'           NOUN    121  3.79  121,21,16       25  2.03  25,99,83      ->
' outside'        ADP     121  4.45  121,15,21       99  1.46  99,25,107     ->
' the'            DET     121  2.33  121,21,55       59  0.13  59,99,118     ->
' margin'         NOUN    121  4.63  121,16,21       25  2.37  25,107,99     ->
' of'             ADP     121  2.28  121,21,55       89  0.06  89,119,59     ->
' error'          NOUN    121  4.62  121,72,47       25  2.03  25,107,48     ->
'.'               PUNCT   121  1.14  121,21,40       29  0.07  29,98,42      ->
' Campaign'       PROPN   121  4.58  121,20,35      107  2.27  107,25,41     ->
' strateg'        X        54  4.74  54,121,43      107  1.41  107,25,99     ->
'ists'            X       121  4.51  121,21,54      107  2.84  107,48,99     ->
' on'             ADP     121  2.11  121,21,40       89  0.05  89,119,59     ->
' both'           DET     121  3.82  121,21,55       99  0.89  99,83,118     ->
' sides'          NOUN    121  4.51  121,21,125     107  2.42  107,25,48     ->
' have'           VERB    121  2.05  121,21,77       59  0.06  59,118,98     ->
' shifted'        VERB    121  4.58  121,55,52       25  1.54  25,99,107     ->
' resources'      NOUN    121  4.47  121,6,24       107  2.34  107,25,48     ->
' toward'         ADP     121  3.96  121,21,55       89  0.37  89,59,25      ->
' rural'          ADJ      15  4.45  15,121,55       99  2.22  99,107,15     ->
' districts'      NOUN     15  4.51  15,121,35      107  1.98  107,15,41     ->
','               PUNCT   121  1.38  121,21,55       98  0.12  98,59,29      ->
' where'          ADV     121  2.27  121,21,40       98  0.49  98,29,64      ->
' turnout'        NOUN     20  4.58  20,16,121       25  2.17  25,107,99     ->
' could'          AUX     121  2.17  121,21,52       98  0.42  98,59,29      ->
' prove'          VERB    121  4.65  121,72,54      118  0.96  118,25,80     ->
' decisive'       ADJ      55  4.31  55,121,76       99  2.20  99,25,107     ->
'.'               PUNCT   121  1.10  121,21,40       29  0.06  29,98,42      ->
' Meanwhile'      ADV     121  4.46  121,125,21      83  1.12  83,99,25      ->
','               PUNCT   121  1.37  121,21,55       98  0.11  98,29,59      ->
' independent'    ADJ     121  4.50  121,24,55       99  2.19  99,48,107     ->
' candidates'     NOUN     20  4.25  20,121,110     107  2.74  107,48,41     ->
' continue'       VERB    121  4.30  121,52,55       99  1.19  99,118,25     ->
' to'             ADP     121  1.90  121,21,55       59  0.15  59,98,80      ->
' draw'           VERB    121  4.51  121,70,16       80  1.10  80,118,25     ->
' support'        NOUN    121  4.41  121,20,24       25  2.31  25,99,107     ->
' from'           ADP     121  1.67  121,21,55       89  0.05  89,98,14      ->
' younger'        ADJ     121  4.51  121,55,26       99  1.43  99,118,83     ->
' voters'         NOUN     20  4.38  20,110,121     107  2.48  107,48,41     ->
' disillusion'    X        76  4.51  76,43,84       107  2.55  107,25,48     ->
'ed'              X       121  4.47  121,55,76       99  1.33  99,25,83      ->
' with'           ADP     121  2.89  121,21,55       89  0.04  89,14,98      ->
' the'            DET     121  2.21  121,21,55       59  0.14  59,99,118     ->
' two'            NUM     121  3.65  121,21,75       99  1.63  99,118,25     ->
' major'          ADJ     121  4.29  121,55,82      118  1.40  118,99,25     ->
' parties'        NOUN    121  4.43  121,35,20      107  2.32  107,48,25     ->
'.'               PUNCT   121  1.09  121,21,40       29  0.07  29,98,42      ->
' '               SPACE   121  4.14  121,96,38       48  1.82  48,42,107     ->
' The'            DET     121  2.26  121,21,55       59  0.21  59,99,118     ->
' foreign'        ADJ     112  4.52  112,121,53     107  2.49  107,41,99     ->
' minister'       NOUN     77  4.30  77,124,24      107  2.49  107,48,77     ->
' met'            VERB    121  4.31  121,87,11       83  0.54  83,99,25      ->
' with'           ADP     121  2.96  121,21,55       89  0.03  89,14,98      ->
' her'            PRON    121  3.23  121,26,21       59  0.08  59,99,118     ->
' counterparts'   NOUN    121  3.91  121,21,35       25  2.59  25,107,48     ->
' from'           ADP     121  1.76  121,21,55       89  0.03  89,98,14      ->
' six'            NUM     121  4.29  121,21,40       99  2.10  99,25,107     ->
' neighbouring'   VERB    121  4.66  121,15,112      99  2.31  99,107,48     ->
' countries'      NOUN    121  4.11  121,112,53     107  2.63  107,41,48     ->
' to'             ADP     121  1.88  121,21,55       59  0.14  59,98,80      ->
' discuss'        VERB    121  4.37  121,72,87       99  2.09  99,25,118     ->
' a'              DET     121  2.29  121,21,55       59  0.18  59,118,119    ->
' regional'       ADJ     121  4.51  121,15,112     107  2.60  107,99,41     ->
' trade'          NOUN    121  4.50  121,102,6      107  2.74  107,25,102    ->
' agreement'      NOUN     87  4.26  87,121,24       25  2.18  25,87,107     ->
' that'           DET     121  2.64  121,21,40       29  0.07  29,98,64      ->
' has'            VERB    121  2.38  121,21,77       59  0.08  59,29,98      ->
' been'           VERB    121  2.65  121,21,55       59  0.07  59,118,80     ->
' stalled'        VERB    121  4.56  121,52,76       99  1.54  99,25,107     ->
' for'            ADP     121  2.07  121,21,24       89  0.11  89,14,119     ->
' over'           ADP     121  3.85  121,21,55       89  0.10  89,99,14      ->
' two'            NUM     121  3.84  121,21,0        99  1.52  99,107,118    ->
' years'          NOUN    121  4.08  121,21,24       25  2.59  25,107,41     ->
'.'               PUNCT   121  1.05  121,21,40       29  0.07  29,98,42      ->
' Neg'            X        96  4.56  96,121,24      107  2.38  107,42,48     ->
'oti'             X       121  4.60  121,24,43      107  2.25  107,42,25     ->
'ators'           X       121  4.50  121,21,43      107  2.49  107,48,25     ->
' cited'          VERB    121  4.48  121,72,114     118  1.14  118,99,25     ->
' disagreements'  NOUN    121  4.50  121,87,76       25  2.01  25,107,99     ->
' over'           ADP     121  3.98  121,21,55       89  0.08  89,99,14      ->
' agricultural'   ADJ       4  4.61  4,15,84        107  2.12  107,99,41     ->
' tariffs'        NOUN     24  4.46  24,6,121       107  2.89  107,25,6      ->
' and'            CCONJ   121  1.08  121,21,55       98  0.19  98,59,118     ->
' intellectual'   ADJ      97  4.60  97,103,82      107  2.71  107,99,48     ->
' property'       NOUN    121  4.61  121,15,24      107  1.88  107,25,15     ->
' protections'    NOUN     24  4.46  24,18,91       107  2.20  107,25,24     ->
' as'             ADP     121  1.87  121,21,55       14  0.11  14,89,59      ->
' the'            DET     121  2.12  121,21,55       59  0.15  59,99,118     ->
' primary'        ADJ     121  4.50  121,20,55      118  2.36  118,99,107    ->
' obstacles'      NOUN    121  4.59  121,24,91      107  2.05  107,25,99     ->
'.'               PUNCT   121  1.02  121,21,40       29  0.07  29,98,42      ->
' A'              DET     121  2.07  121,21,55       98  0.68  98,59,14      ->
' joint'          ADJ      50  4.57  50,121,0        99  2.44  99,107,83     ->
' commun'         X        96  4.70  96,34,10       107  1.40  107,25,99     ->
'ique'            X       121  4.67  121,21,43      107  2.72  107,42,41     ->
' issued'         VERB    121  4.48  121,24,19       25  2.15  25,99,107     ->
' after'          ADP     121  2.31  121,40,21       59  0.28  59,98,14      ->
' the'            DET     121  2.15  121,21,55       59  0.15  59,118,99     ->
' talks'          NOUN    121  4.47  121,87,125      25  2.02  25,107,99     ->
' described'      VERB    121  4.28  121,114,72     118  1.78  118,99,25     ->
' the'            DET     121  2.14  121,21,55       59  0.15  59,118,99     ->
' discussions'    NOUN    121  4.45  121,87,72       25  2.03  25,107,99     ->
' as'             ADP     121  1.87  121,21,55       14  0.09  14,59,89      ->
' constructive'   ADJ      55  4.41  55,121,76       99  2.12  99,25,107     ->
' but'            CCONJ   121  1.82  121,21,75       98  0.24  98,59,83      ->
' acknowledged'   VERB    121  4.47  121,72,55       25  1.86  25,99,118     ->
' that'           DET     121  2.64  121,21,40       29  0.06  29,98,64      ->
' significant'    ADJ     121  4.32  121,55,21      118  1.18  118,99,25     ->
' differences'    NOUN    121  4.53  121,55,54       25  2.06  25,107,99     ->
' remain'         VERB    121  3.76  121,52,21      118  0.63  118,99,25     ->
' unresolved'     ADJ     121  4.47  121,55,76       99  1.29  99,25,55      ->
'.'               PUNCT   121  0.96  121,21,40       29  0.07  29,98,42      ->

  -- Block 0 summary ----------------------
  Unique source slots  : 31 / 128
  Unique dest   slots  : 16 / 128
  Self-routes (src=dst): 2 / 290 (0.7%)
  N_eff  (src routing) : 3.56  (target >= 32;  max = 128)
  Gini   (src routing) : 0.9611  (0 = uniform, 1 = single slot)

  Top-5 source slots:
    #1  Slot 121  (216 tokens, dominant POS: ADP):  ','  ' its'  ' across'  ' energy'  ' and'  '.'  ' had'  ' largely'  ' in'  ' the'
    #2  Slot  21  ( 22 tokens, dominant POS: NOUN):  ' central'  ' bank'  ' raised'  ' interest'  ' rates'  ' by'  ' 25'  ' basis'  ' points'  ' on'
